"distance";"avgPaceMoving";"sport"
"121";10.5247472320965;5.39838776302364;"running"
"122";13.8449188900593;5.59651767905745;"running"
"123";23.6648061954039;5.63635857534462;"running"
"124";11.3803415490955;5.71453264849526;"running"
"125";33.9197185536817;6.79398325889077;"running"
"126";6.95201387772085;5.88318733526589;"running"
"127";14.5626248983334;5.45574719905699;"running"
"128";10.8797377656248;5.36624453558054;"running"
"129";23.5064078071965;6.32380758554231;"running"
"130";14.0510899157982;5.29852135643178;"running"
"131";14.1776481602211;5.32998603242868;"running"
"132";11.3578477697809;6.00759357902976;"running"
"133";20.4797647286252;6.25495466854416;"running"
"134";9.60464493590829;4.84487804014098;"running"
"135";21.5513894435424;4.15673121995277;"running"
"136";30.2053419896432;5.45212609709235;"running"
"137";21.1695251047856;4.44743089577935;"running"
"138";15.0341701327127;5.24804490726909;"running"
